Date,Open,High,Low,Close,High_Last_7_Days,Low_Last_7_Days,Days_Since_High_Last_7_Days,Days_Since_Low_Last_7_Days,%_Diff_From_High_Last_7_Days,%_Diff_From_Low_Last_7_Days,High_Next_5_Days,Low_Next_5_Days,%_Diff_From_High_Next_5_Days,%_Diff_From_Low_Next_5_Days
2024-10-14,62040.38,63293.72,61413.71,62667.05,63152.38,62459.32,6,2,-0.7685,0.3326,64374.94,62513.51,-2.653,0.2456
2024-10-14,62196.14,63452.62,61567.89,62824.38,63152.38,62459.32,5,1,-0.5194,0.5845,64374.94,62513.51,-2.4086,0.4973
2024-10-14,61888.38,63138.65,61263.24,62513.51,63152.38,62488.07,4,1,-1.0116,0.0407,64374.94,62521.18,-2.8915,-0.0123
2024-10-14,61895.96,63146.39,61270.75,62521.18,63152.38,62513.51,3,6,-0.9995,0.0123,64374.94,62641.46,-2.8796,-0.192
2024-10-14,62015.05,63267.88,61388.63,62641.46,63152.38,62513.51,2,5,-0.809,0.2047,64543.38,63793.15,-2.9467,-1.8053
2024-10-14,63731.19,65018.69,63087.44,64374.94,64374.94,62513.51,7,4,0.0,2.9776,64543.38,63793.15,-0.261,0.912
2024-10-14,63447.94,64729.71,62807.05,64088.83,64374.94,62513.51,6,3,-0.4444,2.52,64772.02,63793.15,-1.0548,0.4635
2024-10-14,63155.22,64431.08,62517.29,63793.15,64374.94,62513.51,5,2,-0.9037,2.047,64772.02,64042.88,-1.5112,-0.3899
2024-10-14,63402.45,64683.31,62762.02,64042.88,64374.94,62513.51,4,1,-0.5158,2.4465,64895.87,64460.8,-1.3144,-0.6483
2024-10-14,63897.95,65188.81,63252.51,64543.38,64543.38,62521.18,7,1,0.0,3.2344,64895.87,64460.8,-0.5432,0.1281
2024-10-14,63816.2,65105.41,63171.59,64460.8,64543.38,62641.46,6,1,-0.1279,2.9044,65380.55,64757.78,-1.4068,-0.4586
2024-10-14,64124.3,65419.74,63476.58,64772.02,64772.02,63793.15,7,3,0.0,1.5344,65929.56,64757.78,-1.7557,0.022
2024-10-14,64110.21,65405.36,63462.63,64757.78,64772.02,63793.15,6,2,-0.022,1.5121,65929.56,64798.16,-1.7773,-0.0623
2024-10-14,64246.91,65544.83,63597.95,64895.87,64895.87,63793.15,7,1,0.0,1.7286,65929.56,64798.16,-1.5679,0.1508
2024-10-14,64150.17,65446.14,63502.19,64798.16,64895.87,64042.88,6,1,-0.1506,1.1793,65929.56,65380.55,-1.7161,-0.8908
2024-10-14,64726.74,66034.35,64072.94,65380.55,65380.55,64460.8,7,2,0.0,1.4268,65929.56,65690.65,-0.8327,-0.4721
